Manning Name 	UniprotID
smMLCK 	Q15746
skMLCK 	Q9H1R3
p70S6Kb 	Q9UBS0
p70S6K 	P23443
p38g 	P53778
p38d 	O15264
p38b 	Q15759
p38a 	Q16539
eEF2K 	O00418
caMLCK 	Q32MK0
ZAP70 	P43403
ZAK 	Q9NYL2
YSK1 	O00506
YES 	P07947
YANK3 	Q86UX6
YANK2 	Q9NY57
YANK1 	Q8WU08
Wnk4 	Q96J92
Wnk3 	Q9BYP7
Wnk2 	Q9Y3S1
Wnk1 	Q9H4A3
Wee1B 	P0C1S8
Wee1 	P30291
VRK3 	Q8IV63
VRK2 	Q86Y07
VRK1 	Q99986
VACAMKL 	Q8NCB2
ULK4 	Q96C45
ULK3 	Q6PHR2
ULK2 	Q8IYT8
ULK1 	O75385
Trio 	O75962
Trb3 	Q96RU7
Trb2 	Q92519
Trb1 	Q96RU8
Trad 	O60229
TYRO3 	Q06418
Domain2_TYK2 	P29597
TYK2 	P29597
TXK 	P42681
TTN 	Q8WZ42
TTK 	P33981
TTBK2 	Q6IQ55
TTBK1 	Q5TCY1
TSSK4 	Q6SA08
TSSK3 	Q96PN8
TSSK2 	Q96PF2
TSSK1 	Q9BXA7
TRRAP 	Q9Y4A5
TRKC 	Q16288
TRKB 	Q16620
TRKA 	P04629
TNK1 	Q13470
ZC2/TNIK 	Q9UKE5
TLK2 	Q86UE8
TLK1 	Q9UKI8
TIF1g 	Q9UPN9
TIF1b 	Q13263
TIF1a 	O15164
TIF1D 	B5MCJ9
TIE2 	Q02763
TIE1 	P35590
TGFbR2 	P37173
TGFbR1 	P36897
TESK2 	Q96S53
TESK1 	Q15569
TEC 	P42680
TBK1 	Q9UHD2
TBCK 	Q8TEA7
TAO3 	Q9H2K8
TAO2 	Q9UL54
TAO1 	Q7L7X3
TAK1 	O43318
TAF1L 	Q8IZX4
TAF1 	P21675
SuRTK106 	Q6J9G0
Slob 	Q7Z7A4
SgK496 	Q6XUX3
SgK495 	Q8N2I9
SgK494 	Q96LW2
SgK493 	Q504Y2
SgK424 	Q8IWB6
SgK396 	Q9BXU1
SgK307 	Q8IWB6
SgK288 	Q8NFD2
SgK269 	Q9H792
SgK223 	Q86YV5
SgK196 	Q9H5K3
SgK110 	P0C264
SgK085 	Q86YV6
SgK071 	Q8NE28
SgK069 	P0C263
SYK 	P43405
STLK6 	Q9C0K7
STLK5 	Q7RTN6
STLK3 	Q9UEW8
STK33 	Q9BYT3
SSTK 	Q9BXA6
SRPK2 	P78362
SRPK1 	Q96SB4
SRM 	Q9H3Y6
SRC 	P12931
Domain2_SPEG 	Q15772
SPEG 	Q15772
SNRK 	Q9NRH2
SMG1 	Q96Q15
SLK 	Q9H2G2
SIK 	P57059
SGK3 	Q96BR1
SGK2 	Q9HBY8
SGK 	O00141
SCYL3 	Q8IZE3
SCYL2 	Q6P3W7
SCYL1 	Q96KG9
SBK 	Q52WX2
RYK 	P34925
RSKL2 	Q9Y6S9
RSKL1 	Q96S38
Domain2_RSK4 	Q9UK32
RSK4 	Q9UK32
Domain2_RSK1 	Q15349
RSK1 	Q15349
Domain2_RSK2 	P51812
RSK2 	P51812
Domain2_RSK3 	Q15418
RSK3 	Q15418
ROS 	P08922
ROR2 	Q01974
ROR1 	Q01973
RON 	Q04912
ROCK2 	O75116
ROCK1 	Q13464
RNAseL 	Q05823
RIPK3 	Q9Y572
RIPK2 	O43353
RIPK1 	Q13546
RIOK3 	O14730
RIOK2 	Q9BVS4
RIOK1 	Q9BRS2
RHOK 	Q15835
RET 	P07949
RAF1 	P04049
QSK 	Q9Y2K2
QIK 	Q9H0K1
PYK2 	Q14289
PSKH2 	Q96QS6
PSKH1 	P11801
PRPK 	Q96S44
PRP4 	Q13523
PRKY 	O43930
PRKX 	P51817
PLK4 	O00444
PLK3 	Q9H4B4
PLK2 	Q9NYY3
PLK1 	P53350
PKR 	P19525
PKN3 	Q6P5Z2
PKN2 	Q16513
PKN1 	Q16512
PKG2 	Q13237
PKG1 	Q13976
PKD3 	O94806
PKD2 	Q9BZL6
PKD1 	Q15139
PKCz 	Q05513
PKCt 	Q04759
PKCi 	P41743
PKCh 	P24723
PKCg 	P05129
PKCe 	Q02156
PKCd 	Q05655
PKCb 	P05771
PKCa 	P17252
PKACg 	P22612
PKACb 	P22694
PKACa 	P17612
PITSLRE 	P21127
PINK1 	Q9BXM7
PIM3 	Q86V86
PIM2 	Q9P1W9
PIM1 	P11309
PIK3R4 	Q99570
PHKg2 	P15735
PHKg1 	Q16816
PFTAIRE2 	Q96Q40
PFTAIRE1 	O94921
PEK 	Q9NZJ5
PDK1 	O15530
PDHK4 	Q16654
PDHK3 	Q15120
PDHK2 	Q15119
PDHK1 	Q15118
PDGFRb 	P09619
PDGFRa 	P16234
PCTAIRE3 	Q07002
PCTAIRE2 	Q00537
PCTAIRE1 	Q00536
PBK 	Q96KB5
PASK 	Q96RG2
PAN3 	Q58A45
PAK6 	Q9NQU5
PAK5 	Q9P286
PAK4 	O96013
PAK3 	O75914
PAK2 	Q13177
PAK1 	Q13153
Domain2_Obscn 	Q5VST9
Obscn 	Q5VST9
OSR1 	O95747
NuaK2 	Q9H093
NuaK1 	O60285
ZC4/NRK 	Q7Z2Y5
NRBP2 	Q9NSY0
NRBP1 	Q9UHY1
NLK 	Q9UBE8
NIM1 	Q8IY84
NIK 	Q99558
NEK9 	Q8TD19
NEK8 	Q86SG6
NEK7 	Q8TDX7
NEK6 	Q9HC98
NEK5 	Q6P3R8
NEK4 	P51957
NEK3 	P51956
NEK2 	P51955
NEK11 	Q8NG66
NEK10 	Q6ZWH5
NEK1 	Q96PY6
NDR2 	Q9Y2H1
NDR1 	Q15208
MYT1 	Q99640
MYO3B 	Q8WXR4
MYO3A 	Q8NEV4
MUSK 	O15146
MST4 	Q9P289
MST3 	Q9Y6E0
MST2 	Q13188
MST1 	Q13043
MSSK1 	Q9UPE1
Domain2_MSK2 	O75676
MSK2 	O75676
Domain2_MSK1 	O75582
MSK1 	O75582
MRCKb 	Q9Y5S2
MRCKa 	Q5VT25
MPSK1 	O75716
MOS 	P00540
MOK 	Q9UQ07
MNK2 	Q9HBH9
MNK1 	Q9BUB5
MLKL 	Q8NB16
MLK4 	Q5TCX8
MLK3 	Q16584
MLK2 	Q02779
MLK1 	P80192
MISR2 	Q16671
ZC3/MINK 	Q8N4C8
MET 	P08581
MER 	Q12866
MELK 	Q14680
MASTL 	Q96GX5
MAST4 	O15021
MAST3 	O60307
MAST2 	Q6P0Q8
MAST1 	Q9Y2H9
MARK4 	Q96L34
MARK3 	P27448
MARK2 	Q7KZI7
MARK1 	Q9P0L2
MAPKAPK5 	Q8IW41
MAPKAPK3 	Q16644
MAPKAPK2 	P49137
MAP3K7 	Q6ZN16
MAP3K6 	O95382
MAP3K5 	Q99683
MAP3K4 	Q9Y6R4
MAP3K3 	Q99759
MAP3K2 	Q9Y2U5
MAP3K8 	Q56UN5
MAP3K1 	Q13233
MAP2K7 	O14733
MAP2K6 	P52564
MAP2K5 	Q13163
MAP2K4 	P45985
MAP2K3 	P46734
MAP2K2 	P36507
MAP2K1 	Q02750
MAK 	P20794
LZK 	O43283
LYN 	P07948
LTK 	P29376
LRRK2 	Q5S007
LRRK1 	Q38SD2
LOK 	O94804
LMR3 	Q96Q04
LMR2 	Q8IWU2
LMR1 	Q6ZMQ8
LKB1 	Q15831
LIMK2 	P53671
LIMK1 	P53667
LCK 	P06239
LATS2 	Q9NRM7
LATS1 	O95835
KSR2 	Q6VAB6
KSR1 	Q8IVT5
KIT 	P10721
KIS 	Q8TAS1
KHS2 	Q8IVH8
KHS1 	Q9Y4K4
KDR 	P35968
JNK3 	P53779
JNK2 	P45984
JNK1 	P45983
Domain2_JAK3 	P52333
JAK3 	P52333
Domain2_JAK2 	O60674
JAK2 	O60674
Domain2_JAK1 	P23458
JAK1 	P23458
ITK 	Q08881
IRR 	P14616
IRE2 	Q76MJ5
IRE1 	O75460
IRAK4 	Q9NWZ3
IRAK3 	Q9Y616
IRAK2 	O43187
IRAK1 	P51617
INSR 	P06213
ILK 	Q13418
IKKe 	Q14164
IKKb 	O14920
IKKa 	O15111
IGF1R 	P08069
ICK 	Q9UPZ9
Haspin 	Q8TF76
HUNK 	P57058
HSER 	P25092
HRI 	Q9BQI3
HPK1 	Q92918
HIPK4 	Q8NE63
HIPK3 	Q9H422
HIPK2 	Q9H2X6
HIPK1 	Q86Z02
HH498 	Q59H18
ZC1/HGK 	O95819
HCK 	P08631
GTF2F1 	Q6IBK5
GSK3B 	P49841
GSK3A 	P49840
GPRK7 	Q8WTQ7
GPRK6 	P43250
GPRK5 	P34947
GPRK4 	P32298
Domain2_GCN2 	Q9P2K8
GCN2 	Q9P2K8
GCK 	Q12851
GAK 	O14976
G11 	P49842
Fused 	Q9NRP7
FYN 	P06241
FRK 	P42685
FRAP 	P42345
FMS 	P07333
FLT4 	P35916
FLT3 	P36888
FLT1 	P17948
FGR 	P09769
FGFR4 	P22455
FGFR3 	P22607
FGFR2 	P21802
FGFR1 	P11362
FES 	P07332
FER 	P16591
FASTK 	Q14296
FAK 	Q05397
Erk7 	Q8TD08
Erk5 	Q13164
Erk4 	P31152
Erk3 	Q16659
Erk2 	P28482
Erk1 	P27361
HER4/ErbB4 	Q15303
HER3/ErbB3 	P21860
HER2/ErbB2 	P04626
EphB6 	O15197
EphB4 	P54760
EphB3 	P54753
EphB2 	P29323
EphB1 	P54762
EphA8 	P29322
EphA7 	Q15375
EphA6 	Q9UF33
EphA5 	P54756
EphA4 	P54764
EphA3 	P29320
EphA2 	P29317
EphA10 	Q5JZY3
EphA1 	P21709
EGFR 	P00533
DYRK4 	Q9NR20
DYRK3 	O43781
DYRK2 	Q92630
DYRK1B 	Q9Y463
DYRK1A 	Q13627
DRAK2 	O94768
DRAK1 	Q9UEE5
DNAPK 	P78527
DMPK2 	Q6DT37
DMPK1 	Q09013
DLK 	Q12852
DDR2 	Q16832
DDR1 	Q08345
DCAMKL3 	Q9C098
DCAMKL2 	Q8N568
DCAMKL1 	O15075
DAPK3 	O43293
DAPK2 	Q9UIK4
DAPK1 	P53355
Col4A3BP 	Q9Y5P4
ChaK2 	Q9BX84
ChaK1 	Q96QT4
CaMKK2 	Q96RR4
CaMKK1 	Q8N5S9
CaMK4 	Q16566
CaMK2g 	Q13555
CaMK2d 	Q13557
CaMK2b 	Q13554
CaMK2a 	Q9UQM7
CaMK1g 	Q96NX5
CaMK1d 	Q8IU85
CaMK1b 	Q6P2M8
CaMK1a 	Q14012
CYGF 	P51841
CYGD 	Q02846
CTK 	P42679
CSK 	P41240
CRK7 	Q9NYV4
CRIK 	O14578
COT 	P41279
CLK4 	Q9HAZ1
CLK3 	P49761
CLK2 	P49760
CLK1 	P49759
CLIK1L 	Q8N165
CLIK1 	Q8TDR2
CK2a2 	P19784
CK2a1 	P68400
CK1g3 	Q9Y6M4
CK1g2 	P78368
CK1g1 	Q9HCP0
CK1e 	P49674
CK1d 	P48730
CK1a2 	Q8N752
CK1a 	P48729
CHK2 	O96017
CHK1 	O14757
CHED 	Q14004
CDKL5 	O76039
CDKL4 	Q5MAI5
CDKL3 	Q8IVW4
CDKL2 	Q92772
CDKL1 	Q00532
CDK9 	P50750
CDK8 	P49336
CDK7 	P50613
CDK6 	Q00534
CDK5 	Q00535
CDK4 	P11802
CDK3 	Q00526
CDK2 	P24941
CDK11 	Q9BWU1
CDK10 	Q15131
CDC7 	O00311
CDC2 	P06493
CCRK 	Q8IZL9
CCK4 	Q13308
CASK 	O14936
BUBR1 	O60566
BUB1 	O43683
BTK 	Q06187
BRSK2 	Q8IWQ3
BRSK1 	Q8TDC3
BRK 	Q13882
BRDT 	Q58F21
BRD4 	O60885
BRD3 	Q15059
BRD2 	P25440
BRAF 	P15056
BMX 	P51813
BMPR2 	Q13873
BMPR1B 	O00238
BMPR1A 	P36894
BLVRA 	P53004
BLK 	P51451
BIKE 	Q9NSY1
BCR 	P11274
BCKDK 	O14874
BAZ1B 	Q9UIG0
BAZ1A 	Q9NRL2
BARK2 	P35626
BARK1 	P25098
AurC 	Q9UQB9
AurB 	Q96GD4
AurA 	O14965
AlphaK3 	Q96QP1
AlphaK2 	Q86TB3
AlphaK1 	Q96L96
AXL 	P30530
ATR 	Q13535
ATM 	Q13315
ARAF 	P10398
ANPb 	P20594
ANPa 	P16066
ANKRD3 	P57078
AMPKa2 	P54646
AMPKa1 	Q13131
ALK7 	Q8NER5
ALK4 	P36896
ALK2 	Q04771
ALK1 	P37023
ALK 	Q9UM73
AKT3 	Q9Y243
AKT2 	P31751
AKT1 	P31749
ADCK5 	Q3MIX3
ADCK4 	Q96D53
ADCK3 	Q8NI60
ADCK2 	Q7Z695
ADCK1 	Q86TW2
ACTR2B 	Q13705
ACTR2 	P27037
ACK 	Q07912
ABR 	Q12979
ARG 	P42684
ABL 	P00519
AAK1 	Q2M2I8
