xName,size,shape,fill,stroke,strokeWidth,inputName
CDK4,20,circle,red,black,1.5,CDK4
CK1g3,20,circle,red,black,1.5,CK1g3
CYGD,20,circle,red,black,1.5,CYGD
DAPK1,20,circle,red,black,1.5,DAPK1
EphA1,20,circle,red,black,1.5,EphA1
EphA4,20,circle,red,black,1.5,EphA4
ACTR2,20,circle,red,black,1.5,ACtR2
AKT3,20,circle,red,black,1.5,Akt3/PKB[gamma]
ANPa,20,circle,red,black,1.5,ANP[alpha]
CaMK1a,20,circle,red,black,1.5,CaMK1[alpha]
CK1g2,20,circle,red,black,1.5,CK1g2
DAPK2,20,circle,red,black,1.5,DAPK2
EphA5,20,circle,red,black,1.5,EphA5
FGFR4,20,circle,red,black,1.5,FGFR4
HIPK1,20,circle,red,black,1.5,HIPK1